-3,宗政
-2,滕
-1,吉
0,红
1,籍
2,孙
3,田
4,崔
5,胡
6,戚
7,竺
8,祝
9,越
10,闻人
11,糜
12,殷
13,阚
14,葛
15,鲍
16,仰
17,刘
18,沃
19,嵇
20,尤
21,勾
22,仰
23,乐
24,卞
25,苗
26,滑
27,党
28,詹
29,苏
30,任
31,董
32,吉
33,蔚
34,丰
35,荣
36,奚
37,华
38,湛
39,白
40,郭
41,董
42,周
43,公
44,阳
45,万俟
46,哈
47,龚
48,亢
49,黎
50,冉
51,夔
52,爱
53,邰
54,东门
55,隆
56,江
57,皇甫
58,申屠
59,羊
60,乜
61,印
62,卢
63,充
64,魏
65,钮
66,仲
67,连
68,厍
69,饶
70,莘
71,费
72,班
73,璩
74,匡
75,凌
76,水
77,常
78,寇
79,璩
80,程
81,鲜于
82,晏
83,浦
84,蔡
85,谭
86,许
87,鄢
88,濮阳
89,樊
90,宗
91,郁
92,申屠
93,支
94,阙
95,能
96,宰父
97,凌
98,郜
99,牟
100,窦
101,丰
102,况
103,傅
104,苗
105,公羊
106,东郭
107,钱
108,韩
109,阳
110,邵
111,雷
112,乔
113,濮阳
114,邹
115,牧
116,杨
117,子车
118,班
119,元
120,子车
121,凤
122,慕容
123,计
124,宫
125,唐
126,胡
127,咸
128,弓
129,羿
130,融
131,樊
132,程
133,朱
134,唐
135,权
136,聂
137,冯
138,隆
139,傅
140,穆
141,羿
142,翁
143,有
144,皇甫
145,石
146,怀
147,云
148,危
149,莘
150,酆
151,方
152,阎
153,狄
154,怀
155,阳
156,濮
157,荀
158,康
159,燕
160,郜
161,伏
162,佴
163,巢
164,梁丘
165,卫
166,安
167,高
168,华
169,袁
170,赏
171,慕容
172,阳
173,勾
174,法
175,孙
176,傅
177,田
178,蒯
179,卫
180,柏
181,公良
182,宗政
183,后
184,莘
185,麻
186,段
187,法
188,宫
189,阙
190,舒
191,龚
192,朱
193,詹
194,靳
195,贾
196,都
197,丘
198,艾
199,家
200,雷
201,宗政
202,茹
203,钮
204,颜
205,卓
206,万
207,廉
